# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.482734339012e-10       4.194761530144e-15       3.277888603500e-13       0.000000000000e+00       7.626685833738e-09       4.946358366092e-10      -1.804602242992e-12 
    3       1.423230120615e-10       5.307317940408e-15       3.700206441869e-13       0.000000000000e+00       4.686076216486e-09       3.651481172452e-10      -1.351061951274e-12 
    4       1.347998554864e-10       4.475402134762e-15       3.523292540530e-13       0.000000000000e+00       3.257722255323e-09       2.825628821160e-10      -8.610706352482e-13 
    5       1.284606098727e-10       2.898724920321e-15       3.054512460668e-13       0.000000000000e+00       2.433460886493e-09       2.261553771461e-10      -4.535137177300e-13 
    6       1.236997397589e-10       1.586992785623e-15       2.495193980042e-13       0.000000000000e+00       1.902926079117e-09       1.857001058507e-10      -1.604719344991e-13 
    7       1.203435058773e-10       8.663486401811e-16       1.979832083192e-13       0.000000000000e+00       1.537022784459e-09       1.556453332289e-10       1.853455444628e-14 
    8       1.181092783213e-10       5.799646352796e-16       1.575164296024e-13       0.000000000000e+00       1.271809266971e-09       1.326261295333e-10       1.017372565530e-13 
    9       1.167279588705e-10       4.708580720314e-16       1.301479363686e-13       0.000000000000e+00       1.072087812628e-09       1.145414649619e-10       1.158583024905e-13 
   10       1.159757336342e-10       3.952581473930e-16       1.149936529671e-13       0.000000000000e+00       9.171551167803e-10       1.000942452017e-10       8.928065625069e-14 
   11       1.157854147396e-10       3.294467718777e-16       1.096018678283e-13       0.000000000000e+00       7.750047362435e-10       8.877078478594e-11       4.734090629935e-14 
   12       1.159929837449e-10       2.910477761261e-16       1.109930591080e-13       0.000000000000e+00       6.777825745106e-10       7.886264771939e-11       7.142633979860e-15 
   13       1.164645148172e-10       2.848455180019e-16       1.164944205859e-13       0.000000000000e+00       5.979074109426e-10       7.066945802070e-11      -2.046474554000e-14 
   14       1.171761503246e-10       2.996635699262e-16       1.241353049537e-13       0.000000000000e+00       5.314038682030e-10       6.351341264709e-11      -3.291888781352e-14 
   15       1.181528397547e-10       3.262034245467e-16       1.325909480644e-13       0.000000000000e+00       4.753826004883e-10       5.743530587928e-11      -3.223258275091e-14 
   16       1.192684202457e-10       3.655018198289e-16       1.411773046065e-13       0.000000000000e+00       4.277165075403e-10       5.226889479406e-11      -2.345099602127e-14 
