# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.482738783588e-10       4.194984649955e-15       3.277888564225e-13       2.231197750935e-19       7.626685833738e-09       4.946358366092e-10      -1.804602242992e-12 
    3       1.423238990450e-10       5.307764271307e-15       3.700206266826e-13       4.463305388227e-19       4.686076216486e-09       3.651481172452e-10      -1.351061951274e-12 
    4       1.348013295483e-10       4.476146221140e-15       3.523292037523e-13       7.440846107840e-19       3.257722255323e-09       2.825628821160e-10      -8.610706352482e-13 
    5       1.284628131236e-10       2.899841424661e-15       3.054511314647e-13       1.116498303259e-18       2.433460886493e-09       2.261553771461e-10      -4.535137177300e-13 
    6       1.237028113691e-10       1.588556514859e-15       2.495191726320e-13       1.563712820546e-18       1.902926079117e-09       1.857001058507e-10      -1.604719344991e-13 
    7       1.203475816461e-10       8.684345698988e-16       1.979828083040e-13       2.085891656066e-18       1.537022784459e-09       1.556453332289e-10       1.853455444628e-14 
    8       1.181144903240e-10       5.826479312875e-16       1.575157714987e-13       2.683217647959e-18       1.271809266971e-09       1.326261295333e-10       1.017372565530e-13 
    9       1.167344351884e-10       4.742141088289e-16       1.301469152848e-13       3.355889780078e-18       1.072087812628e-09       1.145414649619e-10       1.158583024905e-13 
   10       1.159835981696e-10       3.993625230599e-16       1.149921410019e-13       4.104119821428e-18       9.171551167803e-10       1.000942452017e-10       8.928065625069e-14 
   11       1.157947871176e-10       3.343753189216e-16       1.095997128231e-13       4.928128899954e-18       7.750047362435e-10       8.877078478594e-11       4.734090629935e-14 
   12       1.160039792982e-10       2.968765678523e-16       1.109900837142e-13       5.828144106076e-18       6.777825745106e-10       7.886264771939e-11       7.142633979860e-15 
   13       1.164772446487e-10       2.916508700141e-16       1.164904216367e-13       6.804395217607e-18       5.979074109426e-10       7.066945802070e-11      -2.046474554000e-14 
   14       1.171907214417e-10       3.075220364238e-16       1.241300531269e-13       7.857111630792e-18       5.314038682030e-10       6.351341264709e-11      -3.291888781352e-14 
   15       1.181693552625e-10       3.351917891646e-16       1.325841878140e-13       8.986519572479e-18       4.753826004883e-10       5.743530587928e-11      -3.223258275091e-14 
   16       1.192869795913e-10       3.756970808574e-16       1.411687543407e-13       1.019283965625e-17       4.277165075403e-10       5.226889479406e-11      -2.345099602127e-14 
   17       1.205570361148e-10       4.349593194695e-16       1.498250568810e-13       1.147628483120e-17       3.867982054204e-10       4.777250056799e-11      -1.222169173352e-14 
   18       1.219322373801e-10       5.160871400796e-16       1.586711078556e-13       1.283705858621e-17       3.512598178316e-10       4.376783815758e-11      -3.210754462695e-15 
   19       1.234264750608e-10       6.184183279265e-16       1.679124942169e-13       1.427535461893e-17       3.205433476742e-10       4.024104269247e-11       1.622540851969e-15 
   20       1.250235369110e-10       7.396394598731e-16       1.777338136171e-13       1.579135420451e-17       2.934731499114e-10       3.713766332428e-11       1.487066282917e-15 
   21       1.267160698853e-10       8.795140677406e-16       1.880104584933e-13       1.738522852413e-17       2.696286315241e-10       3.440121937265e-11      -2.355331971164e-15 
   22       1.284675070026e-10       1.038217475320e-15       1.984431177177e-13       1.905713578152e-17       2.484432178961e-10       3.193039665798e-11      -7.563580049963e-15 
   23       1.302846404623e-10       1.215973714116e-15       2.087069573233e-13       2.080722487458e-17       2.296288380800e-10       2.969626459644e-11      -1.236305407189e-14 
   24       1.321656602732e-10       1.412931318862e-15       2.184245269570e-13       2.263563246135e-17       2.127539166675e-10       2.766949840965e-11      -1.515826146694e-14 
   25       1.341131052802e-10       1.629651802823e-15       2.272849528609e-13       2.454248820261e-17       1.976220521896e-10       2.584898888842e-11      -1.560003826270e-14 
   26       1.361138432778e-10       1.867041662155e-15       2.350310955125e-13       2.652791123134e-17       1.839613628746e-10       2.421989325191e-11      -1.396030609850e-14 
   27       1.381608234309e-10       2.127222839576e-15       2.416953453174e-13       2.859201517927e-17       1.716097617768e-10       2.274257044580e-11      -1.125531604340e-14 
   28       1.402395638891e-10       2.412648609305e-15       2.474082091725e-13       3.073490575461e-17       1.603562012710e-10       2.136318286779e-11      -8.765293732636e-15 
   29       1.423580981782e-10       2.724651529867e-15       2.521836623077e-13       3.295668891534e-17       1.501442570207e-10       2.008339550304e-11      -6.971422174044e-15 
   30       1.445194289396e-10       3.064158495893e-15       2.560112654393e-13       3.525746401368e-17       1.408652682649e-10       1.891411112352e-11      -6.141624074358e-15 
   31       1.467158283401e-10       3.432039541250e-15       2.588867684198e-13       3.763732373835e-17       1.323312231024e-10       1.785578054784e-11      -6.451098219529e-15 
   32       1.489515361645e-10       3.829302924265e-15       2.607841409122e-13       4.009636438214e-17       1.244988341366e-10       1.689822242189e-11      -7.549299257913e-15 
   33       1.512258226405e-10       4.256962322235e-15       2.616733674277e-13       4.263467919248e-17       1.173134962525e-10       1.601851206573e-11      -8.813373391959e-15 
   34       1.535307863890e-10       4.715969515042e-15       2.615018958792e-13       4.525235709726e-17       1.106755597380e-10       1.518870958414e-11      -9.605318807195e-15 
   35       1.558691501399e-10       5.207173138001e-15       2.601052326804e-13       4.794948770833e-17       1.045514478906e-10       1.440709745365e-11      -9.822500627916e-15 
   36       1.582408937930e-10       5.731335627158e-15       2.572618153503e-13       5.072615814339e-17       9.889234621822e-11       1.367680474703e-11      -9.537454970316e-15 
   37       1.606409557028e-10       6.289178236020e-15       2.527687317378e-13       5.358245128861e-17       9.362501432497e-11       1.299781068000e-11      -8.862108561602e-15 
   38       1.630705992567e-10       6.881519090795e-15       2.466295266890e-13       5.651844408476e-17       8.873616724760e-11       1.236910934558e-11      -7.970433666412e-15 
   39       1.655285504582e-10       7.509174260314e-15       2.389292717318e-13       5.953420876245e-17       8.421065281756e-11       1.178664169199e-11      -7.088276688749e-15 
   40       1.680071378870e-10       8.172917429424e-15       2.297869706789e-13       6.262981334801e-17       8.000578342512e-11       1.124227420792e-11      -6.491304310628e-15 
   41       1.704971104073e-10       8.873470722329e-15       2.193148190587e-13       6.580531902589e-17       7.606627806880e-11       1.072657113724e-11      -6.422580430083e-15 
   42       1.730055102393e-10       9.611479932572e-15       2.074750126292e-13       6.906077110794e-17       7.238071856720e-11       1.023902579902e-11      -6.805567819299e-15 
   43       1.755425443035e-10       1.038752678152e-14       1.941798394848e-13       7.239620518411e-17       6.893942476427e-11       9.780579250760e-12      -7.442921518788e-15 
   44       1.781163725196e-10       1.120213172084e-14       1.793296444930e-13       7.581164939627e-17       6.571750450364e-11       9.350662257384e-12      -8.091224918985e-15 
   45       1.807321801130e-10       1.205575903453e-14       1.628273689943e-13       7.930712117706e-17       6.268377772726e-11       8.947693522762e-12      -8.521306294874e-15 
   46       1.833896856244e-10       1.294884127905e-14       1.446293779697e-13       8.288261665864e-17       5.983358565677e-11       8.571060027978e-12      -8.727229229035e-15 
   47       1.860844390349e-10       1.388175686940e-14       1.247083667524e-13       8.653811784148e-17       5.716372910367e-11       8.219506391434e-12      -8.775062912078e-15 
   48       1.888081266471e-10       1.485481994388e-14       1.030393083460e-13       9.027359510908e-17       5.466257253332e-11       7.890465287731e-12      -8.746052434569e-15 
   49       1.915482689810e-10       1.586827773243e-14       7.959948111436e-14       9.408900689823e-17       5.230941608982e-11       7.579962958025e-12      -8.737477962669e-15 
   50       1.942928352622e-10       1.692232365180e-14       5.436688709582e-14       9.798429983437e-17       5.008075210669e-11       7.283773270790e-12      -8.838564838432e-15 
