# Matter power spectrum P(k) at redshift z=0
# for k=1.05911e-05 to 1.12045 h/Mpc,
# number of wavenumbers equal to 606
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.059114485422e-05       4.496186053249e+01 
       2.344061911149e-05       9.687635928194e+01 
       3.633550392531e-05       1.479871068360e+02 
       4.931032561839e-05       1.988292805779e+02 
       6.240018270104e-05       2.497197200167e+02 
       7.564105731338e-05       3.009030519283e+02 
       8.907013663088e-05       3.525923058868e+02 
       1.027261484871e-04       4.049863902474e+02 
       1.166497154996e-04       4.582786025197e+02 
       1.308837320195e-04       5.126619920676e+02 
       1.454737682293e-04       5.683329381828e+02 
       1.604685056592e-04       6.254939421586e+02 
       1.759202082144e-04       6.843558676700e+02 
       1.918852324494e-04       7.451398969623e+02 
       2.084245801802e-04       8.080794575218e+02 
       2.256044954770e-04       8.734215844734e+02 
       2.434971064566e-04       9.414287083734e+02 
       2.621811098821e-04       1.012379860591e+03 
       2.817424931177e-04       1.086572075611e+03 
       3.022752831525e-04       1.164321330951e+03 
       3.238823058286e-04       1.245963483328e+03 
       3.466759297011e-04       1.331854760300e+03 
       3.707787577331e-04       1.422371969004e+03 
       3.963242160520e-04       1.517912333660e+03 
       4.234569722587e-04       1.618892590503e+03 
       4.523330967919e-04       1.725747310741e+03 
       4.831198608979e-04       1.838926962561e+03 
       5.159950462657e-04       1.958894131862e+03 
       5.511456283267e-04       2.086118936461e+03 
       5.887656932241e-04       2.221073003209e+03 
       6.290534647064e-04       2.364221256309e+03 
       6.722073594668e-04       2.516011794887e+03 
       7.184210641595e-04       2.676863494192e+03 
       7.678777365501e-04       2.847151366498e+03 
       8.207435710225e-04       3.027189673357e+03 
       8.771611178961e-04       3.217213913919e+03 
       9.372428781469e-04       3.417363015386e+03 
       1.001065774362e-03       3.627662952089e+03 
       1.068667091672e-03       3.848013525802e+03 
       1.140042370721e-03       4.078182542492e+03 
       1.215145526228e-03       4.317803826828e+03 
       1.293891195682e-03       4.566385781851e+03 
       1.376159049707e-03       4.823305098831e+03 
       1.461799576933e-03       5.087864501668e+03 
       1.550640733661e-03       5.359315793730e+03 
       1.642494835024e-03       5.636848140334e+03 
       1.737165144276e-03       5.919629946615e+03 
       1.834451756115e-03       6.206830422628e+03 
       1.934156529669e-03       6.497636984711e+03 
       2.036086974954e-03       6.791268983993e+03 
       2.140059113374e-03       7.086989945883e+03 
       2.245899411378e-03       7.384113699125e+03 
       2.353445928892e-03       7.682008110352e+03 
       2.462548838136e-03       7.980096830672e+03 
       2.573070462919e-03       8.277858709343e+03 
       2.684884971552e-03       8.574825433035e+03 
       2.797877834574e-03       8.870579253754e+03 
       2.911945135717e-03       9.164748700453e+03 
       3.026992803539e-03       9.457005575943e+03 
       3.142935813172e-03       9.747062050915e+03 
       3.259697392874e-03       1.003466430733e+04 
       3.377208258668e-03       1.031959149339e+04 
       3.495405891596e-03       1.060165129563e+04 
       3.614233865782e-03       1.088067784200e+04 
       3.733641230960e-03       1.115652779728e+04 
       3.853581950013e-03       1.142907791289e+04 
       3.974014390026e-03       1.169822499556e+04 
       4.094900864061e-03       1.196387966786e+04 
       4.216207220163e-03       1.222597085835e+04 
       4.337902473746e-03       1.248443603589e+04 
       4.459958479428e-03       1.273922743280e+04 
       4.582349638499e-03       1.299030657571e+04 
       4.705052638341e-03       1.323764199429e+04 
       4.828046220442e-03       1.348121487040e+04 
       4.951310973866e-03       1.372100732860e+04 
       5.074829151357e-03       1.395701330364e+04 
       5.198584505536e-03       1.418922754771e+04 
       5.322562142900e-03       1.441764977974e+04 
       5.446748393601e-03       1.464229136787e+04 
       5.571130695202e-03       1.486314362375e+04 
       5.695697488796e-03       1.508025001770e+04 
       5.820438126098e-03       1.529358703800e+04 
       5.945342786247e-03       1.550321073067e+04 
       6.070402401222e-03       1.570912133716e+04 
       6.195608588902e-03       1.591133887662e+04 
       6.320953592920e-03       1.610988169163e+04 
       6.446430228546e-03       1.630478758316e+04 
       6.572031833940e-03       1.649610780279e+04 
       6.697752226192e-03       1.668377741592e+04 
       6.823585661627e-03       1.686797858804e+04 
       6.949526799911e-03       1.704865734999e+04 
       7.075570671568e-03       1.722581814028e+04 
       7.201712648534e-03       1.739944795772e+04 
       7.327948417447e-03       1.756971063559e+04 
       7.454273955376e-03       1.773655268790e+04 
       7.580685507749e-03       1.790006283299e+04 
